Goal,goal_description,goal_id,Objective,obj_description,obj_id,Technique,tech_description,tech_id,Approach,app_description,app_id
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Recover,Restore mission or business functions during and after adversity.,g3,Transform,Modify mission or business functions and supporting processes to handle adversity and address environmental changes more effectively.,o7,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Transform,Modify mission or business functions and supporting processes to handle adversity and address environmental changes more effectively.,o7,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Recover,Restore mission or business functions during and after adversity.,g3,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Obfuscation,"Hide, transform, or otherwise obfuscate information from the adversary.",a11
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Obfuscation,"Hide, transform, or otherwise obfuscate information from the adversary.",a11
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Obfuscation,"Hide, transform, or otherwise obfuscate information from the adversary.",a11
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Obfuscation,"Hide, transform, or otherwise obfuscate information from the adversary.",a11
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Obfuscation,"Hide, transform, or otherwise obfuscate information from the adversary.",a11
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Obfuscation,"Hide, transform, or otherwise obfuscate information from the adversary.",a11
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Disinformation,Provide deliberately misleading information to adversaries.,a12
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Disinformation,Provide deliberately misleading information to adversaries.,a12
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Disinformation,Provide deliberately misleading information to adversaries.,a12
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Disinformation,Provide deliberately misleading information to adversaries.,a12
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Disinformation,Provide deliberately misleading information to adversaries.,a12
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Disinformation,Provide deliberately misleading information to adversaries.,a12
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Misdirection,Maintain deception resources or environments and direct adversary activities there.,a13
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Misdirection,Maintain deception resources or environments and direct adversary activities there.,a13
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Misdirection,Maintain deception resources or environments and direct adversary activities there.,a13
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Misdirection,Maintain deception resources or environments and direct adversary activities there.,a13
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Misdirection,Maintain deception resources or environments and direct adversary activities there.,a13
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Misdirection,Maintain deception resources or environments and direct adversary activities there.,a13
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Tainting,Embed covert capabilities in resources.,a14
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Tainting,Embed covert capabilities in resources.,a14
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Tainting,Embed covert capabilities in resources.,a14
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Tainting,Embed covert capabilities in resources.,a14
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Tainting,Embed covert capabilities in resources.,a14
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",t4,Tainting,Embed covert capabilities in resources.,a14
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Recover,Restore mission or business functions during and after adversity.,g3,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",a15
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Recover,Restore mission or business functions during and after adversity.,g3,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Design Diversity,Use different designs to meet the same requirements or provide equivalent functionality.,a16
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Recover,Restore mission or business functions during and after adversity.,g3,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Synthetic Diversity,Transform implementations of software to produce a variety of instances.,a17
